sid,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
a72474d2-4d1e-11e9-9eb8-005056a4a701-126935,AHDW0M4017Z8K,Female,NH,4 year college degree,Like,Strongly like,neither male nor female,neither male nor female,Math,No,No,255422566, Thank you
87220b7c-4d1e-11e9-9eb8-005056a4a701-126935,ASL2J1WC5JG2I,Female,FL,4 year college degree,Like,Strongly like,slightly male,slightly male,Math,No,No,212123366, no comments
7ed99e28-4d1c-11e9-9eb8-005056a4a701-126935,A34SLWTNACPBMO,Male,NJ,4 year college degree,Strongly like,Like,slightly male,slightly female,Math,Yes,No,232223554, Thank you! 
424dab68-4d1f-11e9-9eb8-005056a4a701-126935,A2AHXGFXPG6ZSR,Female,N/A,2 year college degree,Neither like nor dislike,Neither like nor dislike,moderately male,moderately male,Science,Yes,Yes,32334359X, thank you
e655c656-4d1e-11e9-9eb8-005056a4a701-126935,AL6TUFYAMT6U4,Male,N/A,4 year college degree,Strongly like,Strongly like,moderately male,slightly female,Math,No,No,112122567, Good survey.
b844c9e2-4d1e-11e9-9eb8-005056a4a701-126935,AHFGWXN0A2PJM,Female,N/A,Some college,Like,Strongly like,moderately female,strongly male,Liberal Arts,No,No,222121599, Good task.  Happy to participating.
9122025c-4d1f-11e9-9eb8-005056a4a701-126935,A2DBWGA8EPMZLJ,Female,TX,Master’s degree,Strongly like,Like,moderately female,strongly female,Math,Yes,Yes,2112121X9,NICE 
8d996c32-4d20-11e9-9eb8-005056a4a701-126935,AGROK7BTQJ9JV,Female,TX,Master’s degree,Strongly like,Strongly like,neither male nor female,slightly male,Science,No,No,232312132, NICE
b0ef8b64-4d1e-11e9-9eb8-005056a4a701-126935,A1NQ3WFALVNNCB,Female,CA,4 year college degree,Like,Strongly like,slightly male,slightly female,Math,No,No,212132167, NO COMMENTS
4e7012b6-4d1d-11e9-9eb8-005056a4a701-126935,A3K758SI907CG9,Male,IN,4 year college degree,Like,Strongly like,neither male nor female,slightly male,Math,Yes,No,232224544, nice survey
c44c0564-4d20-11e9-9eb8-005056a4a701-126935,A1M8X4XC7AR7UN,Male,CA,Master’s degree,Like,Like,slightly male,slightly female,Math,No,No,222222267, good
